Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,
RUN (Disegno und Farbe),Thomas Arnolds,Klemm's,,http://www.klemms-berlin.com/,1/15/2021,2/27/2021,kreuzberg,"Klemm's,Prinzessinnenstr. 29, ",10969,gallery,,0_RUN (Disegno und Farbe)
no need to be silent,Paul  Hutchinson,Galerie Russi Klenner,"In his first solo show at galerie russi klenner, paul hutchinson brings together works from his latest publication  stadt für alle“ (distanz, 2020) with further topics of his practice. taken from one of hutchinson’s recent texts, the title of the show  no need to be silent“ refers to the underlying sentiment of opposition and revolt, the questioning of alleged authorities   a thread that runs through much of hutchinson’s work.paul hutchinson (*1987 in berlin) is known for his portrayal of inner city culture. in recent years he has published five monographs, in 2021 he will be a fellow of villa aurora, los angeles.",http://www.russiklenner.de/,1/23/2021,3/6/2021,kreuzberg,"Galerie Russi Klenner,Luckauer Stra_e 16, ",10969,gallery,,0_no need to be silent
HOME SHOW,"John Bock, 														Hanne Darboven, 														Aleksandra Domanovi_, 														Lara  Favaretto, 														General Idea, 														Christian Jankowski, 														Matt Mullican, 														Lisa Oppenheim, 														Yuri Pattison, 														Dan Peterman, 														Kay Rosen, 														Rirkrit Tiravanija, 														Rosemarie Trockel, 														Jorinde Voigt, 														Lawrence Weiner, 														Ingrid Wiener",Klosterfelde Edition,,http://www.klosterfeldeedition.de/,12/8/2020,1/15/2021,kreuzberg,"Klosterfelde Edition,Potsdamer Str. 97, ",10785,gallery,,0_HOME SHOW
I hope,Chiharu Shiota,K_NIG GALERIE,,http://www.koeniggalerie.com/,1/13/2021,2/28/2021,kreuzberg,"K_NIG GALERIE,Alexandrinenstra_e 118-121, ",10969,gallery,,0_I hope
Jungle and Corals,Claudia Comte,K_NIG GALERIE,,http://www.koeniggalerie.com/,1/13/2021,2/28/2021,kreuzberg,"K_NIG GALERIE,Alexandrinenstra_e 118-121, ",10969,gallery,,0_Jungle and Corals
Collier  Schorr,Collier  Schorr,KOW,,http://www.kow-berlin.com/,1/15/2021,3/6/2021,kreuzberg,"KOW,Lindenstra_e 35, ",10969,gallery,,0_Collier  Schorr
KOLONNEN - hohenzollern ist jetzt ein Verb,Dierk Schmidt,KOW,"Dierk Schmidt’s latest work cuts to the core of this confusing melee. For several years, his arthas grappled with the legal and other frameworks of Germany’s and other countries’ colonial histories and with questions of restitution. A critic of the Humboldt Forum, he was actively involved in numerous initiatives; he is familiar with the facts and the history behind them and only too familiar with anger and frustration. (In our showroom, we present the installation Berliner Schlossgeister, his contribution to the 2004 Berlin Biennale, which investigated the entanglements between neo-monarchists and political and business elites around the reconstruction of the City Palace.)",http://www.kow-berlin.com/,11/20/2020,1/9/2021,kreuzberg,"KOW,Lindenstra_e 35, ",10969,gallery,,0_KOLONNEN - hohenzollern ist jetzt ein Verb
Oswald Oberhuber,Oswald Oberhuber,KOW,,http://www.kow-berlin.com/,1/15/2021,1/6/2021,kreuzberg,"KOW,Lindenstra_e 35, ",10969,gallery,,0_Oswald Oberhuber
Airmail Paintings 186 and 192,Eugenio Dittborn,KOW,,http://www.kow-berlin.com/,11/20/2020,1/31/2021,kreuzberg,"KOW,Lindenstra_e 35, ",10969,gallery,,0_Airmail Paintings 186 and 192
CATPC,CATPC,KOW,,http://www.kow-berlin.com/,2/5/2021,4/17/2021,kreuzberg,"KOW,Lindenstra_e 35, ",10969,gallery,,0_CATPC
Nest,Klára Hosnedlová,Kraupa-Tuskany Zeidler,,http://www.k-t-z.com/,11/7/2020,1/16/2021,kreuzberg,"Kraupa-Tuskany Zeidler,Kohlfurter Stra_e 41/43, ",10999,gallery,,0_Nest
+/-,A/A Andreas Greiner/Armin Keplinger,KWADRAT,"""In Zeiten, in denen die physische Pufferzone zwischen Menschen zur Eind mmung der Corona Pandemie immer gr  er wurde, schien die digitale Vernetzung nicht nur immer dichter, sondern für das zumindest teilweise Aufrechthalten des Kulturbetriebes überlebenswichtig zu werden. Mit dem KWADRAT-Shop wurden die physischen Galerier ume im April 2020 virtuell erweitert. In diesem Online Shop werden Editionen und Unikate zum Kauf angeboten, was nicht nur den Galeriebetrieb erg nzt, sondern den KünstlerInnen und KünstlerFreundInnen der Galerie auch eine weitere Plattform zur Pr sentation ihrer neusten Arbeiten/Projekte bietet. STAY TUNED! Erg nzt wird dies durch Live Stream Performances, haupts chlich über Social Media. Denn für den Galeristen Martin Kwade ist Kunst die sch nste Form, über die man miteinander in einen Austausch treten und bleiben kann, in diesen eben seltsamen Zeiten, halt erstmal online...""",http://www.kwadrat.org/,2/27/2021,4/11/2021,kreuzberg,"KWADRAT,Reichenbergerstr. 125 / HH, ",10999,gallery,,0_+/-
"""Jedem sein Licht""",Wolfgang Lugmair,KWADRAT,,http://www.kwadrat.org/,10/24/2020,1/17/2021,kreuzberg,"KWADRAT,Reichenbergerstr. 125 / HH, ",10999,gallery,,"0_""Jedem sein Licht"""
TEMPEST,,Tanya Leighton,"Opening: 16 January 2021, 2-6 pm",http://www.tanyaleighton.com/,1/17/2021,2/27/2021,kreuzberg,"Tanya Leighton,Kurfürstenstr. 24/25, ",10785,gallery,,0_TEMPEST
_12 T_ne,Nik Nowak,alexander levy,"The allery lexander levy is pleased to present12 T ne(12 Sounds), a new series of ceramic objects by artist Nik Nowak. owak focuses on the affective dimensions and potential of sound and space in his multi-media interdisciplinary work that re-engineers the formal boundaries between installations, performances, sculptures, films or paintings. e has become renowned for his se of sound as an identifying and socially binding element as well as sound systems as cultural transmitters and acoustic weapons.",http://www.alexanderlevy.net/,1/15/2021,2/20/2021,kreuzberg,"alexander levy,Rudi-Dutschke-Str. 26, ",10969,gallery,,0__12 T_ne
Fit durch Wunder,"Ina  Bierstedt, 														Bettina  Carl, 														Irène Hug, 														Sofia Hultén, 														Wolf  von Kries, 														Walter Yu",Laura Mars Gallery,,,12/9/2020,2/6/2021,sch_neberg,"Laura Mars Gallery,Bülowstra_e 52, ",10783,gallery,,0_Fit durch Wunder
STAY GOLD,Claude  Horstmann,Laura Mars Gallery,,,2/13/2021,3/19/2021,sch_neberg,"Laura Mars Gallery,Bülowstra_e 52, ",10783,gallery,,0_STAY GOLD
Helmut Newton 100 Jonathan Monk 51,,Meyer Riegger,"Helmut Newton, a native Berliner, cosmopolitan man and provocateur of fashion and portrait photography, would have turned one hundred this October. On the occasion of the centennial, Kicken Berlin, together with Berlin galleries Friese and Meyer Riegger, are repositioning some of Newton’s works from private collections in a dialogue with works by contemporary artists. At Galerie Friese, Newton’s works are shown alongside the erotically charged paintings of American artist William N. Copley (1919—1996). Meyer Riegger has invited British artist Jonathan Monk (*1969) to react directly to Newton’s photography. The parallel exhibitions encompass the subjects of physicality, sexuality, fetish, and power. The conversations among the various works — photographs, paintings, drawings, and installations — transcend eras and genres and illustrate how roles and identities, moralities and society can be provocatively charged and discussed on new terms.",http://www.meyer-riegger.de/,10/31/2020,1/16/2021,charlottenburg,"Meyer Riegger,Schaperstrasse 14, ",10719,gallery,,0_Helmut Newton 100 Jonathan Monk 51
Interwoven,Melvin  Moti,Meyer Riegger,,http://www.meyer-riegger.de/,2/6/2021,4/10/2021,charlottenburg,"Meyer Riegger,Schaperstrasse 14, ",10719,gallery,,0_Interwoven
Die Scheune,Franz Ackermann,Meyer Riegger,,http://www.meyer-riegger.de/,5/19/2020,1/16/2021,charlottenburg,"Meyer Riegger,Schaperstrasse 14, ",10719,gallery,,0_Die Scheune
Assisted Survival,"Sophia Domagala, 														Brigitte Nicole  Grice, 														John Matthew Heard, 														Martina  Kügler, 														Maximilian  R_del, 														Laura Schusinski, 														Dennis  Siering, 														Yorgos Stamkopoulos",MOUNTAINS,The group show ssisted Survival ssembles artistic work that relates to a spirit of resilience and non-despair in the face of our planetary vulnerability.,http://mountains.gallery/,10/9/2020,1/16/2021,mitte,"MOUNTAINS,Weydingerstr. 6, ",10178,gallery,,0_Assisted Survival
Boutique,"Guy Allott, 														Lauren Coullard, 														Sophia Domagala, 														Max Geisler, 														Brigitte Nicole  Grice, 														John Matthew Heard, 														Stephanie Kloss, 														Eric Meier, 														Sarah Reva  Mohr, 														José Montealegre, 														Olivia Parkes, 														Wagehe Raufi, 														Laura Schusinski, 														Yana Tsegay, 														Norbert Witzgall, 														Sonja  Yakovleva",MOUNTAINS,Boutique is a gallery window exhibition featuring limited editions by artists and selected unique works.,http://mountains.gallery/,12/6/2020,1/16/2021,mitte,"MOUNTAINS,Weydingerstr. 6, ",10178,gallery,,0_Boutique
"2048 (Cat, Man, Rider, Triangle)",Erik Niedling,Tobias Naehring,"In Lychen, sitting in the middle of the overgrown garden, I sipped sparkling apple juice while pondering the idea of creating yramid Mountain ith a gigantic explosion. Two butterflies landed on my knee. I tried to sit still so as not to disturb them. After a while they beat their wings and flew to a red tulip. *Excerpt from the novel urial of the White Man, 2019",http://www.tobiasnaehring.de/,2/6/2021,3/20/2021,sch_neberg,"Tobias Naehring,Blumenthalstra_e 7, ",10783,gallery,,"0_2048 (Cat, Man, Rider, Triangle)"
sway,Peter  Zimmermann,Galerie Nagel Draxler,"We are pleased to announce our representation of Peter Zimmermann. In our first solo exhibition with Zimmermann, which will take place in our Berlin gallery and at Nagel Draxler Kabinett from November 7, 2020 to January 9, 2021, we will present a new group of works for the first time, as well as new epoxy resin paintings.",http://www.nagel-draxler.de/,11/7/2020,1/9/2021,mitte,"Galerie Nagel Draxler,Weydingerstr. 2/4, ",10178,gallery,,0_sway
Autokorrektur in der Malerei,Gunter Reski,Galerie Nagel Draxler,,http://www.nagel-draxler.de/,1/15/2021,2/27/2021,mitte,"Galerie Nagel Draxler,Weydingerstr. 2/4, ",10178,gallery,,0_Autokorrektur in der Malerei
Divine,,Galerie Neu,,http://www.galerieneu.net/,1/29/2021,3/6/2021,mitte,"Galerie Neu,Linienstrasse 119 ABC, ",10115,gallery,,0_Divine
Mario García Torres,Mario García Torres,neugerriemschneider,,,2/27/2021,4/3/2021,mitte,"neugerriemschneider,Linienstr. 155, ",10115,gallery,,0_Mario García Torres
PLACE,James Benning,neugerriemschneider,,,1/16/2021,2/20/2021,mitte,"neugerriemschneider,Linienstr. 155, ",10115,gallery,,0_PLACE
skulls wolfs nudes rope pullers and a nervous breakdown,Billy Childish,neugerriemschneider,"neugerriemschneider is pleased to present kulls wolfs nudes rope pullers and a nervous breakdown, n exhibition of new paintings by Billy Childish and the artist’s fifth at the gallery. Made over the past three years, the paintings present new and familiar subject matter and have been specially chosen by the artist for this exhibition out of a wider body of related work.Imagery of wolves moving at night, manual laborers and nudes casts an eye on the timeless present. While in a spirit of defiance and strength, self-portraits of the artist respond to a period of psychological struggle. Offering a leitmotif for the exhibition and collapsing the eternal with the finite, skulls appear in groups as still lifes. In the spirit of a emento ori, they affirm our appreciation of life and the living.",,11/7/2020,1/23/2021,mitte,"neugerriemschneider,Linienstr. 155, ",10115,gallery,,0_skulls wolfs nudes rope pullers and a nervous breakdown
Plan B,"James Bridle, 														Paolo Cirio, 														Cian Dayrit, 														Marjolijn Dijkman, 														Goldin+Senneby, 														Igor Grubi_, 														Khaled Hafez, 														Voluspa  Jarpa, 														Rajkamal Kahlon, 														Navine G. Khan-Dossos, 														Sajan Mani, 														Ana Prvacki, 														Kameelah Janan Rasheed, 														Kirsten Stolle, 														Xiyadie",NOME,"Sometimes things don’t work out as you planned. And when this happens, you have a plan B. NOME is pleased to announce the group exhibition Plan B, featuring works by James Bridle, Paolo Cirio, Cian Dayrit, Marjolijn Dijkman, Goldin+Senneby, Igor Grubi , Khaled Hafez, Voluspa Jarpa, Rajkamal Kahlon, Navine G. Khan-Dossos, Sajan Mani, Ana Prva ki, Kameelah Janan Rasheed, Kirsten Stolle, and Xiyadie.",,12/6/2020,2/12/2021,kreuzberg,"NOME,Potsdamer Str 72, ",10785,gallery,,0_Plan B
_BER,Matthias  Hoch,Galerie Nordenhake,,http://www.nordenhake.com/,1/16/2021,3/6/2021,kreuzberg,"Galerie Nordenhake,Lindenstr. 34, ",10969,gallery,,0__BER
The Lingering Drama of The Body,"John  Coplans, 														Michael Schmidt",Galerie Nordenhake,"This exhibition brings together the work of two artists who’s photographic oeuvres challenge normative representations of the human body and lay bare a corporality that often remains obscured. In John Coplans’s ""Self Portraits"" (1984-2003) and Michael Schmidt's series ""Frauen"" (1997-99) the artists subvert the genre of the traditional portrait. Both artists worked with analogue black-and-white photography and share within their practice an uncompromising formal approach, a serial mode of working, as well as an idiosyncratic visual language. Above all, their practices inquire into the ever-shifting meaning, tone and cadence evoked by groupings and suites of individual images.",http://www.nordenhake.com/,11/21/2020,1/9/2021,kreuzberg,"Galerie Nordenhake,Lindenstr. 34, ",10969,gallery,,0_The Lingering Drama of The Body
100mph,Rebecca Ackroyd,Peres Projects,Peres Projects is pleased to present Rebecca Ackroyd’s second solo exhibition at the gallery.,http://www.peresprojects.com/,1/22/2021,2/26/2021,friedrichshain,"Peres Projects,Karl-Marx-Allee 82, ",10243,gallery,,0_100mph
what fruit it bears,"Xinyi  Cheng, 														Dalton  Gata, 														Nicholas Grafia, 														Hugh  Hayden, 														Stanislava Kovalcikova, 														Vojtěch  Kova_ík, 														Emily  Ludwig Shaffer, 														Eric N. Mack, 														Shota  Nakamura, 														Marc  Padeu, 														Paulo Nimer  Pjota, 														David  Rappeneau, 														Mostafa  Sarabi",Peres Projects,,http://www.peresprojects.com/,12/4/2020,1/15/2021,friedrichshain,"Peres Projects,Karl-Marx-Allee 82, ",10243,gallery,,0_what fruit it bears
Paradigms of Chance,Mikko  Rikala,Persons Projects,"We are pleased to present aradigms of Chance, Mikko Rikala’s second solo exhibition at Persons Projects that continues his research into spatiality and temporality emerging from both philosophical and scientific nature related thoughts and practices.The exhibition’s most prolific group of works  Year in My Pocket, features photographs that Rikala took over four seasons from specific places in the Finnish archipelago, where he focuses on the water in its various seasonal cycles.He subsequently prints and folds one photograph for each season and places it in his pocket, which he then carries throughout that season. Every so often he would pull out the trousered photograph to document its transformation and condition, then place it back into his pocket. Like the memories we keep in our heads, the image is transformed over time through its everyday use of being transported and carried.",,11/21/2020,3/6/2021,kreuzberg,"Persons Projects,Lindenstr. 34-35, ",10969,gallery,,0_Paradigms of Chance
Searching for the Shapes Within,"Grey  Crawford, 														KwieKulik, 														Teresa  Murak, 														Riitta  P_iv_l_inen, 														Finnbogi  Pétursson, 														Ragna Róbertsdóttir, 														Anna Rún Tryggvadóttir, 														Ryszard  Wasko",Persons Projects,"The Art World of the 1960-70’s experienced a healthy transformation in perception with the emergence of Performance and Land Art. These new modes of artistic expression challenged the traditional white cube scenario of what art is and how it should be exhibited. Using our natural environment as its own stage for creative interpretations in whatever form, helped in laying the foundations in how art is perceived in this century.Searching for the Shapes Within, is a group exhibition presented by Persons Projects, that focuses on the earth as a common base for these different artistic interventions. What we see, breathe and stand on is part of the natural world we build our state of being from. Yet in reality it’s a combination of numerous elements and shapes all converging together to form an environment that’s in constant flux. What all these artists share in common is a mutual sense for experimentation that creates new frames for thought. Their works form a 50-year timeline, beginning in the early 1970’s up until the present, that engages in a joined dialogue that spans from California, Iceland, Finland, Poland to Israel.",,11/21/2020,3/6/2021,kreuzberg,"Persons Projects,Lindenstr. 34-35, ",10969,gallery,,0_Searching for the Shapes Within
Marieta Chirulescu,Marieta Chirulescu,Galeria Plan B,"Galeria Plan B is pleased to announce the first solo exhibition of Marieta Chirulescu with the gallery, to open on Saturday, November 14. () here is a specificity to Chirulescu’s works that’s not always easy to parse. At first sight, they convey, elegantly and reservedly, a formal precision that initially suspends the intriguing imagery they deliver. But things get complicated once one tries to pierce through their dense visual fabric in order to arrive at an articulation of what they might be showing and  doing“. This act of translation poses a challenge, since Chirulescu’s paintings are paintings are photographs are paintings are copies are reproductions are originals. The images traverse different modes of the real and the virtual before, eventually, reaching the actual canvas and resting there in their composite, quasi-final form.",http://www.plan-b.ro/,11/14/2020,2/6/2021,kreuzberg,"Galeria Plan B,Potsdamer Strasse 77-87,Building G (Second Backyard), ",10785,gallery,,0_Marieta Chirulescu
A Town’s Tail,Sara  Issakharian,Gregor Podnar,,http://www.gregorpodnar.com/,2/13/2021,4/17/2021,tiergarten,"Gregor Podnar,Alt-Moabit 110, ",10559,gallery,,0_A Town’s Tail
Part One,Marzena  Nowak,Gregor Podnar,,http://www.gregorpodnar.com/,2/13/2021,4/17/2021,tiergarten,"Gregor Podnar,Alt-Moabit 110, ",10559,gallery,,0_Part One
",,,",Nobuko  Tsuchiya,Gregor Podnar,,http://www.gregorpodnar.com/,11/28/2020,2/6/2021,tiergarten,"Gregor Podnar,Alt-Moabit 110, ",10559,gallery,,"0_,,,"
"Stefan Lutermann und ich an der Orgel, Konzertaufzeichnung_uf Film,_orlagen der Komposition auf Papier",William Engelen,Gregor Podnar,,http://www.gregorpodnar.com/,11/28/2020,2/6/2021,tiergarten,"Gregor Podnar,Alt-Moabit 110, ",10559,gallery,,"0_Stefan Lutermann und ich an der Orgel, Konzertaufzeichnung_uf Film,_orlagen der Komposition auf Papier"
This is Worse,Ariel Reichman,PSM,,http://www.psm-gallery.com/,1/19/2021,2/27/2021,kreuzberg,"PSM,Sch_neberger Ufer 61, ",10785,gallery,,0_This is Worse
L’Invitation au voyage,"Sarah  Buckner, 														Ciu  Jie, 														Cordula  Ditz, 														Almut Heise, 														Hannah H_ch, 														Leiko Ikemura, 														Tala  Madani, 														Isa Melsheimer, 														Paula  Rego, 														Shahzia  Sikander, 														Toyen, 														Sojourner Truth Parsons, 														Tsai  Yi-Ling",Esther Schipper,,http://www.estherschipper.com/,2/7/2021,4/25/2021,kreuzberg,"Esther Schipper,Potsdamer Strasse 81 E, ",10785,gallery,,0_L’Invitation au voyage
false ruins and lost innocence,Isa Melsheimer,Esther Schipper,"Esther chipper s pleased to present Isa Melsheimer’s third solo exhibition with the gallery. Entitled alse ruins and lost innocence, he exhibition includes hree arge-scale ceramics, textile works, and a suite of gouaches.",http://www.estherschipper.com/,12/6/2020,1/16/2021,kreuzberg,"Esther Schipper,Potsdamer Strasse 81 E, ",10785,gallery,,0_false ruins and lost innocence
Juan  Uslé,Juan  Uslé,Galerie Thomas Schulte,,http://www.galeriethomasschulte.de/,1/16/2021,2/27/2021,mitte,"Galerie Thomas Schulte,Charlottenstr. 24, ",10117,gallery,,0_Juan  Uslé
Angela de la Cruz,Angela de la Cruz,Galerie Thomas Schulte,,http://www.galeriethomasschulte.de/,1/16/2021,2/27/2021,mitte,"Galerie Thomas Schulte,Charlottenstr. 24, ",10117,gallery,,0_Angela de la Cruz
"Ich halte es für eine Trag_die, da_ wir uns nicht gefunden haben!",Ornella Fieres,SEXAUER,,http://www.sexauer.eu/,12/2/2020,2/13/2021,wei_ensee,"SEXAUER,Streustra_e 90, ",13086,gallery,,"0_Ich halte es für eine Trag_die, da_ wir uns nicht gefunden haben!"
Interactions 3,"Ornella Fieres, 														Jeewi Lee",SEXAUER Showroom,,http://www.sexauer.eu/,12/2/2020,1/30/2021,charlottenburg,"SEXAUER Showroom,Grolmanstra_e 53, ",10623,gallery,,0_Interactions 3
Ms Agony,Bunny Rogers,Société,,http://www.societeberlin.com/,12/16/2020,1/16/2021,charlottenburg,"Société,Wielandstra_e 26, ",10707,gallery,,0_Ms Agony
Ryan  Siegan Smith,Ryan  Siegan Smith,Soy Capitán,,http://www.soycapitan.de/,11/1/2020,2/13/2021,kreuzberg,"Soy Capitán,Prinzessinnenstr. 29, ",10969,gallery,,0_Ryan  Siegan Smith
Andrea  Zittel,Andrea  Zittel,Sprüth Magers,"Monika Sprüth and Philomene Magers are pleased to announce the Berlin exhibition orks on Paper y American artist Andrea Zittel, presenting 26 new drawings that all hinge, in one way or another, on planar structures. Planar panels are flat rectangular elements that form the building blocks of so much of the reality that we construct around ourselves, from benches to bed frames to walkways. Zittel's artistic work regularly traverses the boundaries between art and architecture, and here reflects upon the planes and panels that exist in both our literal and psychological fields of reality.Horizontal panels naturally function as platforms for actions and behavior, creating sites where life happens (e.g. floors, tables, benches, fields, streets). Vertical panels, in turn, privilege the eye and are the carriers of messages and ideologies (e.g. walls, screens, paintings, billboards). Rigid or flexible, these panels can provide shelter or divide space into particular zones of purpose or meaning; their function is assigned rather than inherent. In Zittel’s watercolor tudy for Cellular Grid #6(2019), low planar walls create a grillwork of compartments that demarcate human-sized, cell-like spaces evoking an office cubicle, private bedroom or even a cemetery plot. The work points to the way in which space, and its delineation, can be used as a medium for control and alienation while simultaneously offering a source of security, privacy and individualism.",http://www.spruethmagers.com/,11/27/2020,2/13/2021,mitte,"Sprüth Magers,Oranienburger Str. 18, ",10178,gallery,,0_Andrea  Zittel
Cindy Sherman,Cindy Sherman,Sprüth Magers,"Monika Sprüth and Philomene Magers are pleased to announce an exhibition of new works by Cindy Sherman, one of the most influential artists internationally who has been associated with the gallery since the 1980s. It is the first time this 2019 series will be on view outside the United States.In her latest body of work, Sherman continues her long-standing investigation into identity as a social construction. Since the 1970s, her works have addressed topics such as identity, gender and social roles, examining stereotypical media representations of women. By adopting a multitude of disguises and personae, the artist invites the viewer to take a critical stance on subjectivity and sexuality.",http://www.spruethmagers.com/,11/20/2020,2/13/2021,mitte,"Sprüth Magers,Oranienburger Str. 18, ",10178,gallery,,0_Cindy Sherman
Icon Maintenance,"Sofia  Defino Leiby, 														Luzie Meyer, 														Megan  Plunkett, 														Constantin Thun","Sweetwater, Berlin","A guide:1.   he first two works in the exhibition are black-and-white photographs by Megan Plunkett from her 2017 series  Live by the River. Some photographs from the series depict a series of plaster casts made from a discarded Toyota bumper; others are photographs of these photographs. On the right is  Live by the River 03, an “original” image of the Toyota bumper casts, and on the left is  Live by the River 08, an image of an image of the casts.2.   he next work is Luzie Meyer’s 2018 video he Trout, played simultaneously on two screens. The video shows Meyer scrolling through photographic documentation of her performance he Flute t the K lnischer Kunstverein, focusing on members of the audience, many of whom are recording or documenting the performers. The video’s soundtrack is a recording of Meyer singing a version of Schubert’s he Trout, a song that tells the story of a fisherman who resorts to obfuscation, muddying the waters of a stream in order to catch a trout.3.   hrough the door into the second room is Sofia Defino Leiby’s 2019 painting ocker 34. Leiby had stretched a floral-pattern shower curtain over a wooden frame, adding painted details to the flowers and attaching the key tag from her gym locker; this was then unstretched and dismantled after being documented. The resulting intermediate image was silkscreened onto gessoed linen, and finished with oil and watercolor details.4.   n the corner is Constantin Thun’s ntitled, a leaning stack of larch. In 2014, Thun created the first installation of his work ou think it will never happen to you, that it cannot happen to you, that you are the only person in the world to whom none of these things will ever happen, and then, one by one, they all begin to happen to you, in the same way they happen to everyone else, t his apartment in Berlin; the work consists of its title vinyled along the base of a wall, which is then hidden by a skirting board that surrounds the room. These planks served as the skirting board in the apartment, and were left installed even after Thun vacated the apartment. Earlier this year, Thun contacted the current resident and asked to remove the larch planks; they now constitute a new work, ntitled, executed in 2020.5.   he final two works in the exhibition are color photographs by Megan Plunkett, also from her 2017 series  Live by the River. On the right is  Live by the River 06, an “original” image of the Toyota bumper casts, and on the left is  Live by the River 18, an image of an image of the casts.",http://www.sweetwaterberlin.com/,11/7/2020,1/23/2021,kreuzberg,"Sweetwater, Berlin,Kottbusser Damm 7, 3rd floor, ",10967,gallery,,0_Icon Maintenance
Showroom,"Sarah  Entwistle, 														Diango Hernández, 														Nasan  Tur, 														Antonio Paucar",Galerie Barbara Thumm,,http://www.bthumm.de/,11/1/2020,12/31/2020,kreuzberg,"Galerie Barbara Thumm,Markgrafenstr. 68, Passage, ",10969,gallery,,0_Showroom
The Moon Looked Down and Laughed,"Adam Broomberg, 														Nik  Christensen",Galerie Barbara Thumm,,http://www.bthumm.de/,1/16/2021,2/27/2021,kreuzberg,"Galerie Barbara Thumm,Markgrafenstr. 68, Passage, ",10969,gallery,,0_The Moon Looked Down and Laughed
Exfreundin,Martin Dammann,Galerie Barbara Thumm,"At the beginning of the year, I basically ad enough of all the blinky blinky going on around e. o I thought to myself, now you do things the other way round. Make it really personal. I told a colleague that I wanted to do an exhibition about my ex-girlfriends. She laughed and said that she had just done a drawing of her ex-boyfriend. She took out her sketch book nd showed me   a gorilla.Quite funny, et I ould ot be able to get away ike this.Because after all, as a man you re not supposed to do that kind of thing. Bam   my house, bam   my car, bam   my girlfriend. The clichés immediately start rolling. Male clichés. That s curious, but it is also telling: I m planning an exhibition about ex-girlfriends, and the problem is trying to avoid- ot clichés about women, but clichés about men. The consequence: inhibitions, doubts, concerns. Also: what will my ex irlfriends eactions be? And: will anyone else be interested?This may sound like one of those points at which ne hould just turn around and do something else instead. But after all, problems, vacillations, being torn between wanting and not wanting to show, as well as fears   these are all things that can be negotiated using images. So I made a start.Now I am standing in front of the finished works. I ave never understood what a narrative image is supposed to be. Pictures do ot tell stories. There is nothing before or after the moment. Nevertheless, there are photos (surprisingly few, given the vast quantities I took over the course of those years) that contain a lot of what as been. What these relationships were. At least to me. Traces, likenesses of moments that happened.Who knows what will happen when you see them. Will they really communicate something personal? Will you be able to get close to those moments, or to similar moments of your own? Perhaps my moments will become yours. Just for a moment.Would be fine ith e.Martin Dammann",http://www.bthumm.de/,10/16/2020,12/31/2020,kreuzberg,"Galerie Barbara Thumm,Markgrafenstr. 68, Passage, ",10969,gallery,,0_Exfreundin
HOW TO HUMAN - 10 years of Galerie Tanja Wagner,"Ulf Aminde, 														Annabel Daou, 														_ejla Kameri_, 														Kapwani Kiwanga, 														Laurel Nakadate, 														Grit Richter, 														Lina Scheynius, 														Angelika J. Trojnarski, 														Anna Witt",Galerie Tanja Wagner,"With HOW TO HUMAN - 10 years of Galerie Tanja Wagner, I am celebrating the artists aswell as everyone who has supported the gallery and our vision throughout the past tenyears   patrons big and small, institutions and independent curators, press, team past andpresent, producers, friends and family.",http://www.tanjawagner.com/,11/14/2020,2/13/2021,kreuzberg,"Galerie Tanja Wagner,Pohlstra_e 64, ",10785,gallery,,0_HOW TO HUMAN - 10 years of Galerie Tanja Wagner
Birds Reign,Peter Fend,Galerie Barbara Weiss,"At the center of the exhibition is the installation rban Extrusion, which was first shown in the context of  Wonderful: Visions of the Near Future“ at the Arnolfini, Bristol, UK in 2004. In an experimental approach, rban Extrusion ursues the practical and ecological potential of transforming urban waste into artificial feathers, which can rehabilitate ecosystems when they are scattered back into nature. Fend hypothesizes that feathers can be generated out of waste via the help of yeasts and other organisms, creating keratin, the main component of any feather. The newly derived keratin can then be further processed to form artificial feathers. And in turn, these could be dispersed into lakes, rivers and wetlands, where they would be taken up by ducks, swans and migrating birds. The importance of waterways in sustaining life is one of Fend’s longest standing areas of research. These regions are elemental to ecosystems that stretch far beyond the banks of rivers or shores of oceans, and Fend treats these sites as a possible origin point for targeted rejuvenation. Searching for ways out of our ecological impasse, Fend’s proposal aims to solve two environmental issues at once — taking an excess from one environment and transforming it into something useful for one that is lacking.",http://www.galeriebarbaraweiss.de/,11/21/2020,2/27/2021,kreuzberg,"Galerie Barbara Weiss,Kohlfurter Strasse 41/43, ",10999,gallery,,0_Birds Reign
Miriam B_hm,Miriam B_hm,Wentrup,,http://www.wentrupgallery.com/,1/29/2021,3/6/2021,charlottenburg,"Wentrup,Knesebeckstra_e 95, ",10623,gallery,,0_Miriam B_hm
Olaf Metzel,Olaf Metzel,Wentrup,,http://www.wentrupgallery.com/,12/12/2020,1/23/2021,charlottenburg,"Wentrup,Knesebeckstra_e 95, ",10623,gallery,,0_Olaf Metzel
"Endnote, yellow",Ian Kiaer,Barbara Wien,"For his second solo exhibition at Galerie Barbara Wien, Ian Kiaer brings together several works he has been developing and adjusting over a period of six years.",http://www.barbarawien.de/,11/14/2020,4/17/2021,kreuzberg,"Barbara Wien,Sch_neberger Ufer 65, 3rd Floor, ",10785,gallery,,"0_Endnote, yellow"
